category,label,tire,gear,tcase,first
landrover,Defender 90/110 (2020+),255/70R18,3.54,2.93,4.71
landrover,Defender 110 X-Dynamic (2020+),265/65R19,3.54,2.93,4.71
landrover,Discovery (2017+),255/60R19,3.73,2.93,4.71
landrover,Range Rover (2013+),275/45R21,3.54,2.93,4.71
bronco,Bronco Base (2021+),255/70R16,3.73,2.72,4.696
bronco,Bronco Big Bend (2021+),255/75R17,3.73,2.72,4.696
bronco,Bronco Badlands (2021+),285/70R17,4.70,2.72,4.696
bronco,Bronco Wildtrak/Sasquatch (2021+),315/70R17,4.70,3.06,4.696
bronco,Bronco Raptor (2022+),37x12.50R17,4.70,3.06,4.696
lexusgx,GX470 (2003-2009),265/65R17,4.30,2.566,3.52
lexusgx,GX460 (2010-2023),265/60R18,4.30,2.566,3.538
lexusgx,GX460 Luxury (2010-2023),265/60R18,4.30,2.566,3.538
tundra,2000-2006 Tundra SR5 4x4,265/70R16,3.909,2.566,3.83
tundra,2000-2006 Tundra Limited 4x4,265/70R16,4.30,2.566,3.83
tundra,2007-2021 Tundra SR5,275/65R18,4.30,2.566,3.52
tundra,2007-2021 Tundra TRD Off-Road,275/65R18,4.30,2.566,3.52
tundra,2015-2021 Tundra TRD Pro,275/65R18,4.30,2.566,3.52
tundra,2022-2024 Tundra SR5,265/70R18,3.31,2.566,4.92
tundra,2022-2024 Tundra TRD Pro,285/65R18,3.31,2.566,4.92
sequoia,2001-2007 Sequoia Limited 4x4,P265/65R17,4.10,2.566,3.52
sequoia,2005-2007 Sequoia Limited,P265/65R17,4.10,2.566,3.52
sequoia,2008-2021 Sequoia SR5,P275/65R18,3.909,2.618,3.33
sequoia,2008-2021 Sequoia Limited,P275/55R20,3.909,2.618,3.33
sequoia,2008-2021 Sequoia TRD Sport,P275/55R20,4.30,2.618,3.33
sequoia,2023-2024 Sequoia SR5,P265/70R18,3.90,2.566,4.92
sequoia,2023-2024 Sequoia TRD Pro,275/65R18,3.90,2.566,4.92
t100,1993-1994 T100 4x4 V6 Manual,31x10.50R15,4.70,2.28,3.83
t100,1995-1998 T100 4x4 V6 Manual,265/70R16,4.10,2.28,3.83
t100,1995-1998 T100 4x4 V6 Auto,265/70R16,4.30,2.28,3.52
pickup,1979-1985 Pickup 4cyl 4x4,225/75R15,4.10,2.28,4.03
pickup,1986-1995 Pickup 22RE 4x4,225/75R15,4.10,2.28,4.03
pickup,1986-1995 Pickup V6 4x4,31x10.50R15,4.56,2.28,3.83
cherokee,1984-2001 Cherokee XJ 4.0L,215/75R15,3.55,2.72,3.83
cherokee,1984-2001 Cherokee XJ Sport,225/75R15,3.73,2.72,3.83
grandcherokee,1999-2004 Grand Cherokee WJ Laredo,225/75R16,3.55,2.72,3.59
grandcherokee,2005-2010 Grand Cherokee WK Limited,245/65R17,3.73,2.72,3.59
grandcherokee,2011-2021 Grand Cherokee WK2 Laredo,245/60R20,3.45,2.72,4.17
grandcherokee,2011-2021 Grand Cherokee WK2 Overland,265/60R18,3.45,2.72,4.17
grandcherokee,2011-2021 Grand Cherokee WK2 Trailhawk,265/60R18,3.45,2.72,4.17
ranger,1983-1992 Ranger 4WD,225/75R15,4.10,2.28,3.76
ranger,1993-1997 Ranger XLT 4WD,225/75R15,4.10,2.28,3.76
ranger,1998-2011 Ranger FX4,235/75R15,4.10,2.72,3.83
ranger,2019-2024 Ranger XLT,255/70R16,3.55,2.72,4.696
ranger,2019-2024 Ranger Tremor,265/70R17,4.46,2.72,4.696
f150,2004-2008 F-150 FX4,265/70R17,3.73,2.72,4.17
f150,2009-2014 F-150 FX4,275/65R18,3.73,2.72,4.17
f150,2015-2020 F-150 XLT 4WD,265/70R17,3.55,2.72,4.696
f150,2015-2020 F-150 Lariat 4WD,275/55R20,3.55,2.72,4.696
f150,2021-2024 F-150 XLT 4WD,265/70R17,3.55,3.06,4.696
f150,2021-2024 F-150 Tremor,285/70R18,3.73,3.06,4.696
f250,1999-2007 F-250 XLT 4WD,235/85R16,3.73,2.72,3.09
f250,1999-2007 F-250 Lariat 4WD,245/75R17,4.10,2.72,3.09
f250,2008-2010 F-250 XLT,LT275/65R18,3.73,2.72,3.09
f250,2008-2010 F-250 King Ranch,LT275/70R18,4.10,2.72,3.09
f250,2011-2016 F-250 XLT,275/65R18,3.73,2.72,3.97
f250,2011-2016 F-250 Tremor,285/75R18,4.30,2.72,3.97
f250,2017-2024 F-250 XLT,275/65R18,3.55,2.72,4.17
f250,2017-2024 F-250 Tremor,285/75R18,4.30,2.72,4.17
colorado,2004-2012 Colorado Z71,265/75R15,3.73,2.72,3.76
colorado,2004-2012 Colorado Z85,235/75R15,3.42,2.72,3.76
colorado,2015-2020 Colorado Z71,265/65R17,3.42,2.72,4.70
colorado,2015-2020 Colorado ZR2,285/70R17,3.42,3.42,4.70
colorado,2021-2024 Colorado Z71,265/65R17,3.42,2.72,4.70
colorado,2024+ Colorado ZR2,285/70R17,3.42,3.42,4.70
silverado1500,2007-2013 Silverado LT,265/65R18,3.42,2.72,4.03
silverado1500,2007-2013 Silverado Z71,265/70R17,3.73,2.72,4.03
silverado1500,2014-2018 Silverado LT,265/65R18,3.42,2.72,4.56
silverado1500,2014-2018 Silverado Z71,265/65R18,3.42,2.72,4.56
silverado1500,2019-2024 Silverado Trail Boss,275/65R18,3.23,2.72,4.56
silverado1500,2023+ Silverado ZR2,285/70R17,3.73,3.42,4.56
silverado2500,2007-2024 Silverado 2500HD LT,265/70R17,3.73,2.72,3.00
silverado2500,2007-2024 Silverado 2500HD Duramax,LT265/70R17,4.10,2.72,3.00
sierra1500,2007-2013 Sierra SLT,265/65R18,3.42,2.72,4.03
sierra1500,2007-2013 Sierra SLE,265/70R17,3.42,2.72,4.03
sierra1500,2019-2024 Sierra AT4,275/65R18,3.23,2.72,4.56
sierra1500,2023+ Sierra AT4X,285/70R17,3.73,3.42,4.56
sierra2500,2007-2024 Sierra 2500HD SLE,265/70R17,3.73,2.72,3.00
sierra2500,2007-2024 Sierra 2500HD Denali,LT265/70R17,4.10,2.72,3.00
fourrunner,1984-1989 4Runner SR5 (1st Gen),31x10.50R15,4.10,2.28,3.83
fourrunner,1984-1989 4Runner (1st Gen),225/75R15,4.56,2.28,3.83
fourrunner,1990-1995 4Runner SR5 (2nd Gen),265/70R15,3.73,2.28,3.83
fourrunner,1990-1995 4Runner (2nd Gen),31x10.50R15,4.10,2.28,3.83
cj,1972-1983 CJ-5,31x10.50R15,3.73,2.03,2.77
cj,1976-1986 CJ-7 Base,31x10.50R15,3.73,2.62,2.77
cj,1976-1986 CJ-7 Renegade,31x10.50R15,4.10,2.62,2.77
cj,1981-1986 CJ-8 Scrambler,31x10.50R15,3.73,2.62,2.77
yj,1987-1995 YJ Wrangler,215/75R15,3.73,2.72,3.83
yj,1987-1995 YJ Wrangler Sport,225/75R15,4.10,2.72,3.83
tj,1997-2002 TJ Wrangler Sport,225/75R16,3.73,2.72,4.01
tj,1997-2002 TJ Wrangler Sahara,30x9.50R15,4.10,2.72,4.01
tj,2003-2006 TJ Wrangler Rubicon,245/75R16,4.10,4.0,4.01
